time,droneId,x,y,vx,vy
0.53,1,88.8368,12.3264,-3.8653,7.73059
0.53,2,12.3264,88.8368,7.73059,-3.8653
0.53,3,88.6041,88.3715,-4.63835,-5.41141
0.54,0,12.1642,12.4047,7.04567,7.82852
0.54,1,88.7976,12.4047,-3.91426,7.82852
0.54,2,12.4047,88.7976,7.82852,-3.91426
0.54,3,88.5572,88.3167,-4.69711,-5.47996
0.55,0,12.2356,12.484,7.13246,7.92496
0.55,1,88.758,12.484,-3.96248,7.92496
0.55,2,12.484,88.758,7.92496,-3.96248
0.55,3,88.5096,88.2612,-4.75497,-5.54747
0.56,0,12.3077,12.5642,7.21793,8.01992
0.56,1,88.7179,12.5642,-4.00996,8.01992
0.56,2,12.5642,88.7179,8.01992,-4.00996
0.56,3,88.4615,88.2051,-4.81195,-5.61395
0.57,0,12.3808,12.6453,7.30208,8.11343
0.57,1,88.6774,12.6453,-4.05671,8.11343
0.57,2,12.6453,88.6774,8.11343,-4.05671
0.57,3,88.4128,88.1483,-4.86806,-5.6794
0.58,0,12.4546,12.7273,7.38494,8.20548
0.58,1,88.6363,12.7273,-4.10274,8.20548
0.58,2,12.7273,88.6363,8.20548,-4.10274
0.58,3,88.3636,88.0909,-4.92329,-5.74384
0.59,0,12.5293,12.8103,7.4665,8.29611
0.59,1,88.5948,12.8103,-4.14805,8.29611
0.59,2,12.8103,88.5948,8.29611,-4.14805
0.59,3,88.3138,88.0328,-4.97767,-5.80728
0.6,0,12.6047,12.8942,7.54678,8.38531
0.6,1,88.5529,12.8942,-4.19266,8.38531
0.6,2,12.8942,88.5529,8.38531,-4.19266
0.6,3,88.2635,87.9741,-5.03119,-5.86972
0.61,0,12.681,12.9789,7.6258,8.47311
0.61,1,88.5106,12.9789,-4.23656,8.47311
0.61,2,12.9789,88.5106,8.47311,-4.23656
0.61,3,88.2127,87.9148,-5.08387,-5.93118
0.62,0,12.758,13.0645,7.70357,8.55952
0.62,1,88.4678,13.0645,-4.27976,8.55952
0.62,2,13.0645,88.4678,8.55952,-4.27976
0.62,3,88.1613,87.8549,-5.13571,-5.99167
0.63,0,12.8358,13.1509,7.78009,8.64455
0.63,1,88.4245,13.1509,-4.32227,8.64455
0.63,2,13.1509,88.4245,8.64455,-4.32227
0.63,3,88.1094,87.7943,-5.18673,-6.05118
0.64,0,12.9144,13.2382,7.85539,8.72821
0.64,1,88.3809,13.2382,-4.36411,8.72821
0.64,2,13.2382,88.3809,8.72821,-4.36411
0.64,3,88.0571,87.7333,-5.23693,-6.10975
0.65,0,12.9937,13.3263,7.92947,8.81052
0.65,1,88.3368,13.3263,-4.40526,8.81052
0.65,2,13.3263,88.3368,8.81052,-4.40526
0.65,3,88.0042,87.6716,-5.28631,-6.16736
0.66,0,13.0737,13.4152,8.00234,8.89149
0.66,1,88.2924,13.4152,-4.44574,8.89149
0.66,2,13.4152,88.2924,8.89149,-4.44574
0.66,3,87.9509,87.6093,-5.33489,-6.22404
0.67,0,13.1544,13.5049,8.07402,8.97113
0.67,1,88.2475,13.5049,-4.48556,8.97113
0.67,2,13.5049,88.2475,8.97113,-4.48556
0.67,3,87.897,87.5465,-5.38268,-6.27979
0.68,0,13.2359,13.5954,8.14451,9.04946
0.68,1,88.2023,13.5954,-4.52473,9.04946
0.68,2,13.5954,88.2023,9.04946,-4.52473
0.68,3,87.8427,87.4832,-5.42967,-6.33462
0.69,0,13.318,13.6867,8.21383,9.12648
0.69,1,88.1566,13.6867,-4.56324,9.12648
0.69,2,13.6867,88.1566,9.12648,-4.56324
0.69,3,87.788,87.4193,-5.47589,-6.38854
0.7,0,13.4009,13.7787,8.28199,9.20222
0.7,1,88.1106,13.7787,-4.60111,9.20222
0.7,2,13.7787,88.1106,9.20222,-4.60111
0.7,3,87.7328,87.3549,-5.52133,-6.44155
0.71,0,13.4843,13.8715,8.34901,9.27667
0.71,1,88.0643,13.8715,-4.63834,9.27667
0.71,2,13.8715,88.0643,9.27667,-4.63834
0.71,3,87.6771,87.29,-5.566,-6.49367
0.72,0,13.5685,13.965,8.41488,9.34987
0.72,1,88.0175,13.965,-4.67493,9.34987
0.72,2,13.965,88.0175,9.34987,-4.67493
0.72,3,87.621,87.2245,-5.60992,-6.54491
0.73,0,13.6533,14.0592,8.47963,9.42181
0.73,1,87.9704,14.0592,-4.71091,9.42181
0.73,2,14.0592,87.9704,9.42181,-4.71091
0.73,3,87.5645,87.1586,-5.65309,-6.59527
0.74,0,13.7387,14.1541,8.54326,9.49251
0.74,1,87.9229,14.1541,-4.74626,9.49251
0.74,2,14.1541,87.9229,9.49251,-4.74626
0.74,3,87.5075,87.0921,-5.69551,-6.64476
0.75,0,13.8248,14.2498,8.60579,9.56199
0.75,1,87.8751,14.2498,-4.78099,9.56199
0.75,2,14.2498,87.8751,9.56199,-4.78099
0.75,3,87.4501,87.0252,-5.73719,-6.69339
0.76,0,13.9114,14.3461,8.66722,9.63024
0.76,1,87.827,14.3461,-4.81512,9.63024
0.76,2,14.3461,87.827,9.63024,-4.81512
0.76,3,87.3924,86.9578,-5.77815,-6.74117
0.77,0,13.9987,14.443,8.72757,9.6973
0.77,1,87.7785,14.443,-4.84865,9.6973
0.77,2,14.443,87.7785,9.6973,-4.84865
0.77,3,87.3342,86.8899,-5.81838,-6.78811
0.78,0,14.0866,14.5407,8.78684,9.76316
0.78,1,87.7297,14.5407,-4.88158,9.76316
0.78,2,14.5407,87.7297,9.76316,-4.88158
0.78,3,87.2756,86.8215,-5.85789,-6.83421
0.79,0,14.175,14.6389,8.84505,9.82783
0.79,1,87.6805,14.6389,-4.91392,9.82783
0.79,2,14.6389,87.6805,9.82783,-4.91392
0.79,3,87.2166,86.7527,-5.8967,-6.87948
0.8,0,14.2641,14.7379,8.90221,9.89135
0.8,1,87.6311,14.7379,-4.94567,9.89135
0.8,2,14.7379,87.6311,9.89135,-4.94567
0.8,3,87.1573,86.6835,-5.93481,-6.92394
0.81,0,14.3536,14.8374,8.95833,9.9537
0.81,1,87.5813,14.8374,-4.97685,9.9537
0.81,2,14.8374,87.5813,9.9537,-4.97685
0.81,3,87.0976,86.6138,-5.97222,-6.96759
0.82,0,14.4438,14.9375,9.01341,10.0149
0.82,1,87.5312,14.9375,-5.00745,10.0149
0.82,2,14.9375,87.5312,10.0149,-5.00745
0.82,3,87.0375,86.5437,-6.00894,-7.01043
0.83,0,14.5345,15.0383,9.06748,10.075
0.83,1,87.4809,15.0383,-5.03749,10.075
0.83,2,15.0383,87.4809,10.075,-5.03749
0.83,3,86.977,86.4732,-6.04498,-7.05248
0.84,0,14.6257,15.1396,9.12053,10.1339
0.84,1,87.4302,15.1396,-5.06696,10.1339
0.84,2,15.1396,87.4302,10.1339,-5.06696
0.84,3,86.9162,86.4023,-6.08035,-7.09375
0.85,0,14.7174,15.2415,9.17258,10.1918
0.85,1,87.3792,15.2415,-5.09588,10.1918
0.85,2,15.2415,87.3792,10.1918,-5.09588
0.85,3,86.8551,86.3309,-6.11505,-7.13423
0.86,0,14.8096,15.344,9.22364,10.2485
0.86,1,87.328,15.344,-5.12424,10.2485
0.86,2,15.344,87.328,10.2485,-5.12424
0.86,3,86.7936,86.2592,-6.14909,-7.17394
0.87,0,14.9024,15.4471,9.27372,10.3041
0.87,1,87.2765,15.4471,-5.15207,10.3041
0.87,2,15.4471,87.2765,10.3041,-5.15207
0.87,3,86.7318,86.1871,-6.18248,-7.21289
0.88,0,14.9956,15.5507,9.32282,10.3587
0.88,1,87.2247,15.5507,-5.17935,10.3587
0.88,2,15.5507,87.2247,10.3587,-5.17935
0.88,3,86.6696,86.1145,-6.21522,-7.25109
0.89,0,15.0893,15.6548,9.37097,10.4122
0.89,1,87.1726,15.6548,-5.20609,10.4122
0.89,2,15.6548,87.1726,10.4122,-5.20609
0.89,3,86.6071,86.0417,-6.24731,-7.28853
0.9,0,15.1835,15.7594,9.41816,10.4646
0.9,1,87.1203,15.7594,-5.23231,10.4646
0.9,2,15.7594,87.1203,10.4646,-5.23231
0.9,3,86.5443,85.9684,-6.27877,-7.32523
0.91,0,15.2781,15.8646,9.46441,10.516
0.91,1,87.0677,15.8646,-5.258,10.516
0.91,2,15.8646,87.0677,10.516,-5.258
0.91,3,86.4812,85.8948,-6.3096,-7.36121
0.92,0,15.3732,15.9702,9.50972,10.5664
0.92,1,87.0149,15.9702,-5.28318,10.5664
0.92,2,15.9702,87.0149,10.5664,-5.28318
0.92,3,86.4179,85.8208,-6.33981,-7.39645
0.93,0,15.4688,16.0764,9.55411,10.6157
0.93,1,86.9618,16.0764,-5.30784,10.6157
0.93,2,16.0764,86.9618,10.6157,-5.30784
0.93,3,86.3542,85.7465,-6.36941,-7.43098
0.94,0,15.5647,16.183,9.59759,10.664
0.94,1,86.9085,16.183,-5.33199,10.664
0.94,2,16.183,86.9085,10.664,-5.33199
0.94,3,86.2902,85.6719,-6.39839,-7.46479
0.95,0,15.6611,16.2902,9.64016,10.7113
0.95,1,86.8549,16.2902,-5.35564,10.7113
0.95,2,16.2902,86.8549,10.7113,-5.35564
0.95,3,86.2259,85.5969,-6.42677,-7.4979
0.96,0,15.758,16.3977,9.68183,10.7576
0.96,1,86.8011,16.3977,-5.3788,10.7576
0.96,2,16.3977,86.8011,10.7576,-5.3788
0.96,3,86.1614,85.5216,-6.45455,-7.53031
0.97,0,15.8552,16.5058,9.72262,10.8029
0.97,1,86.7471,16.5058,-5.40145,10.8029
0.97,2,16.5058,86.7471,10.8029,-5.40145
0.97,3,86.0965,85.446,-6.48174,-7.56204
0.98,0,15.9528,16.6142,9.76253,10.8473
0.98,1,86.6929,16.6142,-5.42363,10.8473
0.98,2,16.6142,86.6929,10.8473,-5.42363
0.98,3,86.0315,85.37,-6.50835,-7.59308
0.99,0,16.0508,16.7231,9.80156,10.8906
0.99,1,86.6384,16.7231,-5.44531,10.8906
0.99,2,16.7231,86.6384,10.8906,-5.44531
0.99,3,85.9661,85.2938,-6.53438,-7.62344
1,0,16.1492,16.8325,9.83974,10.933
